ShowId,artist,title,album
17,Kinks,"I Need You","It's The Kinks"
17,"Clarence Carter","Slip Away","The Soul Troubadours"
17,"Albert King","Crosscut Saw","King Of The Blues Guitar"
17,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
18,Byrds,"C.T.A. - 102","Younger Than Yesterday"
18,"Electric Light Orchestra","Can't Get It Out Of My Head","El Dorado"
18,Kinks,"20th Century Man","The Kinks Greatest: Celluloid Heroes"
18,"Rolling Stones","I Can't Be Satisfied","More Hot Rocks (Big Hits and Fazed Cookies)"
18,"Otis Spann","My Love Depends On You","The Biggest Thing Since Colossus"
18,"Fleetwood Mac","Oh Well","The Vaudeville Years of Fleetwood Mac 1968-1970"
18,"Bob Dylan","I Want You","Blonde On Blonde"
18,"Beach Boys",Forever,"Sunflower / Surf's Up"
18,Seeds,"Pushin' Too Hard","The Seeds"
18,"Otis Redding","The Happy Song (Dum-Dum)","The Very Best of Otis Redding"
18,"Sam & Dave","I Take What I Want","The Very Best of Sam & Dave"
18,"Ann Peebles","Didn't Take Your Man","The Best of Ann Peebles: The Hi Records Years"
18,Band,"King Harvest (Has Surely Come)","The Band"
18,"Carl Perkins","All Mama's Children","Blue Suede Shoes: The Very Best of Carl Perkins"
18,Knickerbockers,Lies,"Nuggets: Original Artyfacts From The First Psychedelic Era 1965-1968"
18,"Elmore James","Shake Your Moneymaker","The Sky Is Crying: The History of Elmore James"
18,"Muddy Waters","Still A Fool","The Anthology 1947-1972"
18,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
19,"Fleetwood Mac","Tell Me All The Things You Do","Kiln House"
19,Beatles,"And Your Bird Can Sing",Revolver
19,"Bob Dylan","Obviously Five Believers","Blonde On Blonde"
19,Kinks,"Nothin' In The World Can Stop Me Worryin' ‘Bout That Girl","More Hot Rocks (Big Hits and Fazed Cookies)"
19,"Buffalo Springfield","Four Days Gone","Last Time Around"
19,Free,"Fire And Water","The Best of Free"
19,"Canned Heat","Let's Work Together","The Best of Canned Heat"
19,"Otis Redding",Satisfaction,"The Very Best of Otis Redding"
19,"Rolling Stones","Down In The Bottom","(not on any album)"
19,"Slim Harpo","Lovers Confession","I'm A King Bee: The Early Swamp Blues Classics"
19,"Jimmy Reed","Take Out Some Insurance","Rockin' With Reed"
19,"Little Richard","Send Me Some Lovin'","The Essential Little Richard"
19,Spirit,"Gramophone Man",Spirit
19,"Ronnie Dee","Action Packed","Loud, Fast & Out of Control: The Wild Sounds of '50s Rock"
19,"Flying Burrito Brothers","Christine's Tune (Devil In Disguise)","Sin City: The Very Best of The Flying Burrito Brothers"
19,"Van Morrison","In The Days Before Rock 'N' Roll",Enlightenment
19,"Fleetwood Mac",Albatross,"The Pious Bird Of Good Omen"
19,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
20,"Barrett Strong","Money (That's What I Want)","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
20,"Rolling Stones","Off The Hook",Now!
20,"Big Mama Thornton","Hound Dog","Hound Dog: The Peacock Recordings"
20,"Otis Redding","Mr. Pitiful","The Very Best of Otis Redding"
20,"Fleetwood Mac","Station Man","Kiln House"
20,"Ann Peebles","I Can't Stand The Rain","The Best of Ann Peebles: The Hi Records Years"
20,"Bo Diddley","You Can't Judge A Book By It's Cover","His Best"
20,Kinks,"Got Love If You Want It","The Kinks (2001 UK Bonus Tracks)"
20,"Slim Harpo","Baby, Scratch My Back","The Best of Slim Harpo"
20,"Small Faces","What'cha Gonna Do About It","The In Crowd: The Ultimate Mod Collection For The Original Style Movement 1958-1967"
20,Zombies,Summertime,"The Zombies"
